delivery_id,source_city,destination_city,source_lat,source_long,dest_lat,dest_long,distance_km,vehicle_type,driver_id,package_weight_kg,order_time,scheduled_delivery_time,actual_delivery_time,traffic_level,weather_condition,road_type,delay_minutes,is_delayed
DLV000016,Bangalore,Delhi,12.802498,77.158158,28.424882,77.034183,1737.18,Truck,DRV009,19.6,2023-01-17 10:04:00,2023-01-18 15:55:27.849763,2023-01-18 16:18:27.849763,5,Cloudy,Highway,23.0,1
DLV000017,Surat,Coimbatore,21.399806,72.968657,11.404013,76.928015,1188.78,Car,DRV032,10.61,2023-08-31 13:12:00,2023-09-01 09:15:38.164140,2023-09-01 08:48:38.164140,7,Clear,Highway,-27.0,0
DLV000018,Hyderabad,Delhi,17.645785,78.547977,28.884867,77.202796,1257.22,Car,DRV094,3.88,2023-06-23 03:15:00,2023-06-24 08:52:23.976051,2023-06-24 11:03:23.976051,9,Rain,Highway,131.0,1
DLV000019,Bhopal,Ahmedabad,23.282633,77.340141,22.547919,72.179291,534.82,Van,DRV057,8.06,2023-10-09 03:03:00,2023-10-09 11:08:20.739072,2023-10-09 10:48:20.739072,2,Cloudy,Highway,-20.0,0
DLV000020,Thane,Patna,19.032656,72.986671,26.001666,84.886892,1446.06,Car,DRV028,5.48,2023-07-25 01:10:00,2023-07-26 11:19:47.483418,2023-07-26 11:18:47.483418,7,Fog,Highway,-1.0,0
DLV000021,Lucknow,Bhopal,26.757083,81.201751,22.988698,76.98958,596.68,Car,DRV020,3.29,2023-04-08 09:13:00,2023-04-08 23:38:10.934931,2023-04-09 00:50:10.934931,9,Clear,Rural,72.0,1
DLV000022,Surat,Visakhapatnam,21.599898,73.13922,17.820204,83.589961,1171.52,Truck,DRV008,4.47,2023-09-18 02:54:00,2023-09-19 07:27:20.960554,2023-09-19 10:10:20.960554,10,Rain,Highway,163.0,1
DLV000023,Hyderabad,Coimbatore,17.688672,78.17327,11.409359,76.995142,709.63,Truck,DRV075,3.66,2023-11-01 01:39:00,2023-11-02 04:15:40.656202,2023-11-02 04:46:40.656202,10,Clear,City,31.0,1
DLV000024,Pune,Nagpur,18.248335,73.783808,21.463815,79.448931,691.89,Truck,DRV034,5.32,2023-07-22 04:42:00,2023-07-23 16:40:41.958260,2023-07-23 16:10:41.958260,6,Snow,City,-30.0,0
DLV000025,Bhopal,Coimbatore,22.766852,77.423347,10.934211,76.677908,1318.11,Van,DRV010,5.25,2023-10-03 06:32:00,2023-10-04 16:48:14.928452,2023-10-04 16:41:14.928452,6,Snow,Highway,-7.0,0
DLV000026,Lucknow,Kolkata,27.28961,80.769403,22.591391,88.566919,943.54,Car,DRV070,3.31,2023-12-27 09:39:00,2023-12-28 04:27:42.768997,2023-12-28 04:05:42.768997,9,Cloudy,Highway,-22.0,0
DLV000027,Jaipur,Hyderabad,26.77603,76.259082,17.847447,78.238482,1013.42,Van,DRV096,1.08,2023-10-11 04:17:00,2023-10-12 12:42:45.535519,2023-10-12 14:33:45.535519,4,Snow,Rural,111.0,1
DLV000028,Jaipur,Vadodara,26.69724,75.324187,22.416764,73.183879,522.84,Car,DRV033,7.2,2023-01-27 02:40:00,2023-01-27 21:52:52.198726,2023-01-27 22:02:52.198726,1,Fog,City,10.0,0
DLV000029,Jaipur,Kolkata,26.463879,75.565946,22.980866,88.103462,1323.5,Car,DRV071,7.14,2023-12-28 13:35:00,2023-12-29 07:46:53.364074,2023-12-29 07:25:53.364074,2,Clear,Highway,-21.0,0
DLV000030,Vadodara,Delhi,22.79285,72.923255,28.786036,77.47062,806.87,Motorcycle,DRV075,2.3,2023-10-10 04:27:00,2023-10-10 20:50:22.561238,2023-10-10 20:22:22.561238,5,Rain,Highway,-28.0,0
DLV000031,Nagpur,Pune,20.883438,79.316416,18.388183,73.989006,623.04,Truck,DRV086,13.29,2023-02-22 11:49:00,2023-02-23 13:31:01.499050,2023-02-23 13:16:01.499050,10,Cloudy,City,-15.0,0
DLV000032,Kolkata,Pune,22.16289,88.699202,18.34118,73.543219,1636.26,Car,DRV004,66.05,2023-04-02 23:59:00,2023-04-06 06:31:25.766024,2023-04-06 06:07:25.766024,4,Snow,City,-24.0,0
DLV000033,Indore,Delhi,22.260375,75.948593,28.791464,76.725588,730.39,Car,DRV029,1.57,2023-04-13 14:22:00,2023-04-14 07:53:45.642900,2023-04-14 09:05:45.642900,4,Snow,Highway,72.0,1
DLV000034,Jaipur,Bangalore,27.057573,75.461666,13.162538,77.481335,1559.28,Motorcycle,DRV045,7.91,2023-11-25 16:25:00,2023-11-27 13:26:27.625025,2023-11-27 13:07:27.625025,1,Cloudy,City,-19.0,0
DLV000035,Surat,Jaipur,21.60693,72.468621,26.753466,75.400774,644.87,Van,DRV014,16.67,2023-11-02 13:22:00,2023-11-04 04:03:32.354179,2023-11-04 07:30:32.354179,10,Snow,City,207.0,1
DLV000036,Pune,Lucknow,18.837622,73.911901,26.876351,80.688052,1131.27,Van,DRV091,2.16,2023-08-12 00:33:00,2023-08-13 01:26:16.253967,2023-08-13 02:23:16.253967,4,Cloudy,Rural,57.0,1
DLV000037,Kanpur,Nagpur,26.043003,80.729116,21.546218,79.221301,523.01,Van,DRV093,2.14,2023-06-03 16:19:00,2023-06-04 17:01:43.247556,2023-06-04 16:43:43.247556,7,Fog,City,-18.0,0
DLV000038,Thane,Indore,19.444256,73.37521,23.106686,76.137576,497.73,Truck,DRV079,1.97,2023-10-19 09:25:00,2023-10-19 17:58:16.762822,2023-10-19 18:05:16.762822,5,Cloudy,Highway,7.0,0
DLV000039,Coimbatore,Kanpur,11.158832,76.53994,26.111529,80.730454,1719.86,Car,DRV057,9.91,2023-08-15 21:13:00,2023-08-18 03:36:25.719148,2023-08-18 03:46:25.719148,3,Cloudy,City,10.0,0
DLV000040,Coimbatore,Kanpur,10.521862,76.616608,26.498634,80.523795,1823.27,Van,DRV097,3.62,2023-05-01 21:19:00,2023-05-03 07:23:20.800007,2023-05-03 10:24:20.800007,3,Rain,Highway,181.0,1
DLV000041,Coimbatore,Bangalore,11.168761,76.680069,13.183779,77.331849,234.99,Car,DRV054,23.54,2023-11-19 18:12:00,2023-11-20 05:18:12.083668,2023-11-20 04:48:12.083668,7,Fog,City,-30.0,0
DLV000042,Hyderabad,Bhopal,17.534633,78.835923,23.417513,77.480909,669.18,Truck,DRV023,3.25,2023-12-23 16:29:00,2023-12-24 05:52:01.193996,2023-12-24 05:30:01.193996,4,Clear,Rural,-22.0,0
DLV000043,Bhopal,Vadodara,22.853575,77.280316,22.072402,72.92519,455.86,Motorcycle,DRV097,6.84,2023-08-15 19:52:00,2023-08-16 14:02:38.144426,2023-08-16 15:32:38.144426,9,Cloudy,City,90.0,1
DLV000044,Bhopal,Jaipur,23.651947,77.543739,27.207211,75.789937,432.76,Truck,DRV082,10.39,2023-05-22 16:31:00,2023-05-23 12:12:26.754960,2023-05-23 14:21:26.754960,8,Rain,City,129.0,1
DLV000045,Kanpur,Nagpur,26.526804,80.324418,20.841043,79.310652,640.59,Van,DRV018,2.53,2023-03-19 07:24:00,2023-03-20 00:03:19.169976,2023-03-20 03:21:19.169976,4,Rain,Rural,198.0,1
DLV000046,Bhopal,Thane,23.700359,77.866529,19.633164,72.848259,687.94,Van,DRV027,11.97,2023-08-04 12:57:00,2023-08-05 02:11:34.569522,2023-08-05 02:05:34.569522,1,Cloudy,Rural,-6.0,0
DLV000047,Visakhapatnam,Mumbai,17.202257,83.646819,19.004184,73.344355,1106.96,Motorcycle,DRV039,3.17,2023-07-19 13:34:00,2023-07-20 13:55:10.968519,2023-07-20 13:56:10.968519,4,Cloudy,Rural,1.0,0
DLV000048,Mumbai,Thane,19.427137,72.694622,18.887793,73.034901,69.82,Motorcycle,DRV086,1.62,2023-12-14 12:46:00,2023-12-14 15:22:33.621815,2023-12-14 15:17:33.621815,3,Rain,City,-5.0,0
DLV000049,Surat,Coimbatore,21.606355,73.02713,11.086861,76.552976,1228.52,Van,DRV011,7.83,2023-11-26 13:08:00,2023-11-27 11:42:26.555354,2023-11-27 13:10:26.555354,1,Fog,Highway,88.0,1
DLV000050,Kanpur,Nagpur,26.827273,80.572669,21.342816,79.290684,623.56,Car,DRV036,2.36,2023-08-04 08:53:00,2023-08-05 01:15:06.268308,2023-08-05 01:52:06.268308,1,Clear,City,37.0,1
DLV000051,Ahmedabad,Bangalore,22.881991,72.364992,13.280961,77.904713,1217.19,Van,DRV097,12.37,2023-01-16 07:12:00,2023-01-17 06:31:45.916781,2023-01-17 06:08:45.916781,3,Clear,Rural,-23.0,0
DLV000052,Surat,Pune,21.468495,72.981064,18.722367,74.152493,328.94,Car,DRV090,348.18,2023-05-12 11:10:00,2023-05-12 17:48:01.079677,2023-05-12 17:37:01.079677,2,Cloudy,Rural,-11.0,0
DLV000053,Hyderabad,Coimbatore,17.775005,78.324695,10.892383,76.549782,788.81,Van,DRV040,4.55,2023-10-22 21:58:00,2023-10-24 07:05:47.465222,2023-10-24 07:15:47.465222,4,Fog,City,10.0,0
DLV000054,Ahmedabad,Hyderabad,22.988098,72.614045,17.171541,78.577533,897.6,Motorcycle,DRV088,8.02,2023-11-04 03:50:00,2023-11-04 19:52:40.656990,2023-11-04 19:26:40.656990,6,Cloudy,Highway,-26.0,0
DLV000055,Patna,Kanpur,25.1246,84.674948,26.772501,80.192091,484.18,Van,DRV054,7.88,2023-09-08 03:27:00,2023-09-08 21:31:34.171908,2023-09-08 23:07:34.171908,8,Snow,Rural,96.0,1
DLV000056,Jaipur,Surat,27.182394,75.503121,21.29309,72.416447,725.71,Car,DRV060,2.51,2023-08-12 23:37:00,2023-08-14 10:27:01.884604,2023-08-14 11:10:01.884604,4,Snow,City,43.0,1
DLV000057,Ahmedabad,Visakhapatnam,22.574182,72.602755,17.727435,83.35593,1244.58,Car,DRV044,0.98,2023-01-15 15:54:00,2023-01-17 02:44:53.658897,2023-01-17 02:35:53.658897,8,Snow,Highway,-9.0,0
DLV000058,Jaipur,Lucknow,27.207586,75.558132,26.785671,80.524656,494.27,Van,DRV067,8.9,2023-04-08 02:15:00,2023-04-09 03:20:03.665566,2023-04-09 03:21:03.665566,9,Fog,City,1.0,0
DLV000059,Bhopal,Mumbai,22.785251,77.875248,19.41198,73.073674,623.45,Van,DRV038,2.22,2023-04-24 12:44:00,2023-04-25 19:07:35.834632,2023-04-25 21:35:35.834632,10,Rain,City,148.0,1
DLV000060,Thane,Surat,18.874737,72.728343,21.219427,73.045696,262.82,Motorcycle,DRV046,5.29,2023-12-26 14:17:00,2023-12-27 02:53:54.643882,2023-12-27 03:38:54.643882,4,Snow,City,45.0,1
DLV000061,Vadodara,Kolkata,22.467397,72.961134,23.027465,88.601797,1604.34,Truck,DRV028,61.69,2023-09-05 08:46:00,2023-09-07 04:53:09.419442,2023-09-07 06:42:09.419442,10,Cloudy,Rural,109.0,1
DLV000062,Lucknow,Ahmedabad,26.7663,80.693931,22.878473,72.829246,903.5,Motorcycle,DRV023,20.75,2023-06-04 00:45:00,2023-06-04 16:16:43.938438,2023-06-04 17:23:43.938438,5,Cloudy,Highway,67.0,1
DLV000063,Chennai,Patna,12.597093,79.886773,25.140103,84.678329,1482.58,Van,DRV002,11.52,2023-10-21 09:30:00,2023-10-24 04:57:26.153406,2023-10-24 07:59:26.153406,6,Fog,City,182.0,1
DLV000064,Hyderabad,Bangalore,17.359174,78.084534,12.963216,77.568072,491.94,Car,DRV063,16.03,2023-02-07 18:40:00,2023-02-08 01:44:17.845785,2023-02-08 01:19:17.845785,3,Clear,Highway,-25.0,0
DLV000065,Ahmedabad,Hyderabad,22.695702,72.505252,17.283505,78.60255,876.16,Car,DRV078,4.76,2023-11-02 19:14:00,2023-11-04 04:57:55.937031,2023-11-04 06:42:55.937031,8,Cloudy,City,105.0,1
DLV000066,Thane,Lucknow,19.092913,73.10396,26.849836,81.30269,1202.77,Van,DRV079,8.42,2023-02-20 06:40:00,2023-02-22 01:39:56.047436,2023-02-22 02:58:56.047436,2,Rain,City,79.0,1
DLV000067,Kolkata,Mumbai,22.731294,88.026834,18.646569,73.020119,1624.8,Car,DRV058,7.92,2023-12-19 19:30:00,2023-12-21 10:29:43.047348,2023-12-21 11:57:43.047348,4,Snow,Highway,88.0,1
DLV000068,Bangalore,Jaipur,13.41183,77.670074,26.80057,75.930588,1499.73,Motorcycle,DRV081,5.03,2023-10-29 21:51:00,2023-11-01 03:27:55.074047,2023-11-01 03:14:55.074047,2,Rain,City,-13.0,0
DLV000069,Chennai,Bangalore,13.040953,80.316317,13.413065,77.480703,309.72,Van,DRV022,9.79,2023-06-07 19:47:00,2023-06-08 07:42:26.539641,2023-06-08 07:37:26.539641,8,Cloudy,City,-5.0,0
DLV000070,Jaipur,Vadodara,26.483589,75.606276,22.652075,72.704472,517.28,Car,DRV057,3.96,2023-02-11 19:02:00,2023-02-12 10:43:26.546043,2023-02-12 12:41:26.546043,6,Fog,Rural,118.0,1
DLV000071,Surat,Coimbatore,21.484668,72.612955,10.634965,77.152537,1299.96,Van,DRV098,18.17,2023-12-11 08:36:00,2023-12-12 07:20:57.362206,2023-12-12 09:31:57.362206,8,Clear,Highway,131.0,1
DLV000072,Kolkata,Coimbatore,22.807671,88.667381,10.798835,76.63324,1848.21,Car,DRV082,10.05,2023-09-09 02:30:00,2023-09-13 02:36:24.580107,2023-09-13 04:17:24.580107,6,Snow,City,101.0,1
DLV000073,Kanpur,Bhopal,26.700515,80.638735,23.750405,77.325218,467.61,Car,DRV037,26.51,2023-12-06 12:52:00,2023-12-06 21:52:05.271259,2023-12-06 22:36:05.271259,8,Cloudy,Highway,44.0,1
DLV000074,Indore,Vadodara,22.560404,76.288457,22.665613,73.110194,326.44,Van,DRV085,4.09,2023-10-05 14:26:00,2023-10-05 20:21:00.296169,2023-10-05 20:31:00.296169,9,Clear,Highway,10.0,0
DLV000075,Bhopal,Delhi,23.510771,77.667143,28.217024,77.611553,523.34,Truck,DRV035,27.26,2023-10-09 04:59:00,2023-10-10 10:17:25.538593,2023-10-10 10:25:25.538593,8,Snow,City,8.0,0
DLV000076,Ahmedabad,Kolkata,22.84255,72.966923,22.461802,87.874738,1529.74,Motorcycle,DRV071,7.55,2023-01-08 17:26:00,2023-01-09 14:28:02.040309,2023-01-09 14:52:02.040309,2,Clear,Highway,24.0,1
DLV000077,Visakhapatnam,Lucknow,18.092182,82.809787,26.666014,81.396262,964.35,Motorcycle,DRV054,8.14,2023-09-05 15:15:00,2023-09-06 17:07:36.243646,2023-09-06 17:09:36.243646,3,Fog,Rural,2.0,0
DLV000078,Chennai,Bangalore,13.214537,80.219146,12.764811,77.423265,307.03,Motorcycle,DRV099,13.4,2023-08-01 10:59:00,2023-08-01 19:50:55.742807,2023-08-01 19:57:55.742807,1,Cloudy,City,7.0,0
DLV000079,Surat,Visakhapatnam,21.342718,73.083475,17.978379,83.508118,1153.55,Truck,DRV058,7.3,2023-10-03 15:22:00,2023-10-05 11:58:13.849702,2023-10-05 11:40:13.849702,9,Snow,Rural,-18.0,0
DLV000080,Ahmedabad,Coimbatore,22.580059,72.620929,10.958331,77.343504,1386.24,Car,DRV030,3.01,2023-07-30 01:20:00,2023-07-31 20:59:59.854326,2023-07-31 20:38:59.854326,7,Fog,Rural,-21.0,0
DLV000081,Visakhapatnam,Delhi,17.537715,82.835567,28.256892,77.470511,1311.98,Truck,DRV065,3.25,2023-10-30 10:55:00,2023-10-31 22:59:46.216387,2023-10-31 22:38:46.216387,2,Clear,City,-21.0,0
DLV000082,Thane,Chennai,18.802407,73.179069,12.655463,80.59256,1046.89,Van,DRV061,9.43,2023-05-16 10:39:00,2023-05-17 13:31:12.447399,2023-05-17 13:35:12.447399,2,Fog,Rural,4.0,0
DLV000083,Indore,Kanpur,22.925842,75.439049,26.034738,80.81854,644.76,Car,DRV070,1.74,2023-01-19 19:04:00,2023-01-20 12:31:44.332033,2023-01-20 12:28:44.332033,5,Rain,Rural,-3.0,0
DLV000084,Hyderabad,Chennai,17.6978,78.933949,13.568701,80.524078,489.68,Car,DRV022,1.81,2023-12-22 09:57:00,2023-12-22 17:54:26.019699,2023-12-22 18:32:26.019699,6,Clear,Highway,38.0,1
DLV000085,Thane,Chennai,19.09456,72.561601,13.359847,80.329104,1045.73,Truck,DRV068,17.42,2023-07-30 18:43:00,2023-07-31 14:15:31.647609,2023-07-31 14:24:31.647609,3,Rain,Highway,9.0,0
DLV000086,Ahmedabad,Patna,22.633697,72.564025,25.105454,85.106261,1304.07,Truck,DRV030,6.3,2023-08-25 20:16:00,2023-08-27 20:11:27.836524,2023-08-27 19:59:27.836524,1,Fog,City,-12.0,0
DLV000087,Vadodara,Kolkata,21.863503,72.800018,22.190126,88.51311,1619.37,Van,DRV057,12.42,2023-06-26 18:19:00,2023-06-28 17:32:53.817376,2023-06-28 20:10:53.817376,5,Fog,Rural,158.0,1
DLV000088,Visakhapatnam,Hyderabad,18.148973,83.093371,17.170712,78.855299,462.02,Truck,DRV049,34.22,2023-10-20 11:36:00,2023-10-21 03:00:01.845242,2023-10-21 02:55:01.845242,5,Snow,Rural,-5.0,0
DLV000089,Jaipur,Mumbai,26.635996,76.250523,18.588154,73.347579,943.07,Van,DRV078,9.25,2023-09-12 09:49:00,2023-09-13 12:22:46.993526,2023-09-13 14:26:46.993526,6,Rain,Rural,124.0,1
DLV000090,Chennai,Hyderabad,12.656497,80.324554,17.854303,78.509798,609.85,Van,DRV040,7.48,2023-08-14 01:37:00,2023-08-14 20:19:07.494288,2023-08-14 21:42:07.494288,3,Snow,Rural,83.0,1
DLV000091,Kolkata,Ahmedabad,22.701999,88.559649,22.977041,72.698958,1624.85,Truck,DRV070,17.68,2023-07-07 16:32:00,2023-07-09 09:09:16.567961,2023-07-09 08:57:16.567961,5,Snow,Highway,-12.0,0
DLV000092,Kanpur,Hyderabad,25.995346,80.112863,17.835411,78.876964,916.23,Car,DRV010,8.88,2023-03-14 07:55:00,2023-03-15 11:42:32.826048,2023-03-15 13:49:32.826048,6,Fog,Rural,127.0,1
DLV000093,Vadodara,Hyderabad,22.262857,73.301333,17.162381,78.174821,762.66,Car,DRV048,0.88,2023-12-11 23:43:00,2023-12-13 03:10:20.894261,2023-12-13 02:46:20.894261,7,Snow,Rural,-24.0,0
DLV000094,Ahmedabad,Patna,23.106156,72.149135,26.068495,85.623811,1400.94,Van,DRV080,4.37,2023-10-15 10:58:00,2023-10-16 08:09:21.315560,2023-10-16 07:58:21.315560,2,Cloudy,Highway,-11.0,0
DLV000095,Thane,Hyderabad,19.416462,73.014196,17.194528,78.800495,658.85,Truck,DRV006,3.01,2023-01-20 09:31:00,2023-01-20 19:23:57.924924,2023-01-20 20:07:57.924924,4,Clear,Highway,44.0,1
DLV000096,Nagpur,Surat,21.556727,79.410737,21.62,73.05682,656.95,Car,DRV076,12.08,2023-03-21 13:41:00,2023-03-22 14:19:08.745872,2023-03-22 13:51:08.745872,10,Clear,City,-28.0,0
DLV000097,Nagpur,Pune,21.259215,79.006443,18.953128,74.222764,561.42,Car,DRV057,24.03,2023-05-01 11:06:00,2023-05-02 06:33:45.375307,2023-05-02 08:04:45.375307,6,Snow,Rural,91.0,1
DLV000098,Bhopal,Bangalore,23.747176,77.063017,13.065731,77.475491,1188.52,Truck,DRV083,4.62,2023-11-24 19:01:00,2023-11-26 06:40:19.777890,2023-11-26 06:23:19.777890,4,Clear,City,-17.0,0
DLV000099,Bangalore,Surat,13.441514,77.936719,21.508529,72.799793,1049.2,Truck,DRV076,1.5,2023-04-21 07:21:00,2023-04-22 07:13:09.559776,2023-04-22 06:51:09.559776,1,Rain,Rural,-22.0,0
DLV000100,Vadodara,Jaipur,21.863575,73.545922,27.225301,76.287018,657.44,Truck,DRV015,4.06,2023-12-05 00:08:00,2023-12-05 19:51:23.464939,2023-12-05 20:22:23.464939,4,Clear,City,31.0,1
DLV000101,Delhi,Kolkata,29.110537,77.264432,22.841587,88.808666,1347.01,Car,DRV068,4.71,2023-02-28 23:04:00,2023-03-03 12:21:20.617902,2023-03-03 15:29:20.617902,6,Fog,City,188.0,1
DLV000102,Ahmedabad,Delhi,22.973044,72.200559,29.067951,77.315175,848.56,Motorcycle,DRV059,13.77,2023-11-26 00:03:00,2023-11-27 16:08:39.334373,2023-11-27 17:34:39.334373,7,Fog,City,86.0,1
DLV000103,Bangalore,Hyderabad,12.700243,77.766301,17.503128,78.344863,537.65,Motorcycle,DRV078,10.3,2023-03-17 02:08:00,2023-03-17 23:38:22.120722,2023-03-18 03:10:22.120722,10,Snow,Rural,212.0,1
DLV000104,Patna,Lucknow,25.614408,85.409918,26.866864,81.298382,433.04,Car,DRV065,3.5,2023-11-06 13:06:00,2023-11-06 23:33:54.576678,2023-11-07 00:16:54.576678,9,Clear,Rural,43.0,1
DLV000105,Ahmedabad,Bhopal,23.074407,72.632338,23.636554,77.316083,482.18,Motorcycle,DRV059,14.09,2023-07-24 13:46:00,2023-07-25 06:02:24.871622,2023-07-25 05:41:24.871622,7,Clear,City,-21.0,0
DLV000106,Visakhapatnam,Bangalore,17.89088,82.931464,12.607971,77.109145,857.24,Van,DRV011,29.04,2023-02-17 13:06:00,2023-02-18 13:57:35.951386,2023-02-18 14:02:35.951386,9,Snow,Highway,5.0,0
DLV000107,Kanpur,Hyderabad,26.300488,80.421818,17.277244,78.424175,1024.26,Car,DRV046,5.64,2023-12-07 13:55:00,2023-12-09 04:19:34.583682,2023-12-09 05:53:34.583682,10,Clear,City,94.0,1
DLV000108,Pune,Chennai,18.534389,74.140353,12.979243,80.392787,910.39,Car,DRV029,15.14,2023-02-25 11:54:00,2023-02-26 15:26:21.129673,2023-02-26 15:23:21.129673,2,Cloudy,City,-3.0,0
DLV000109,Vadodara,Surat,22.669564,73.630721,20.817273,73.257688,209.54,Van,DRV078,1.35,2023-12-03 22:17:00,2023-12-04 01:33:26.479278,2023-12-04 01:24:26.479278,5,Clear,Highway,-9.0,0
DLV000110,Nagpur,Mumbai,21.104936,79.568233,19.068618,72.706452,751.41,Truck,DRV019,6.99,2023-10-17 21:25:00,2023-10-18 07:16:44.074116,2023-10-18 07:10:44.074116,1,Clear,Highway,-6.0,0
DLV000111,Thane,Visakhapatnam,19.351701,72.718246,17.262663,82.84738,1094.03,Motorcycle,DRV021,10.66,2023-07-09 09:46:00,2023-07-11 05:31:40.308179,2023-07-11 07:11:40.308179,10,Snow,Rural,100.0,1
DLV000112,Coimbatore,Delhi,10.69868,76.801467,29.010688,77.182962,2036.59,Van,DRV035,2.89,2023-08-15 21:27:00,2023-08-18 15:58:42.824014,2023-08-18 19:09:42.824014,8,Fog,Rural,191.0,1
DLV000113,Hyderabad,Indore,17.552558,78.15902,22.411889,75.398569,612.46,Car,DRV015,4.35,2023-05-26 21:43:00,2023-05-27 22:08:18.113257,2023-05-27 22:48:18.113257,9,Cloudy,City,40.0,1
DLV000114,Coimbatore,Delhi,10.69381,76.544503,28.234536,77.169779,1951.53,Van,DRV027,3.34,2023-06-04 06:49:00,2023-06-07 14:05:51.135570,2023-06-07 16:55:51.135570,5,Rain,City,170.0,1
DLV000115,Kolkata,Chennai,22.278934,88.22817,13.086117,80.461095,1311.48,Car,DRV069,3.67,2023-12-27 07:32:00,2023-12-28 14:47:24.944028,2023-12-28 14:19:24.944028,6,Cloudy,Rural,-28.0,0
DLV000116,Thane,Mumbai,19.591879,73.398972,18.637078,72.654578,131.86,Car,DRV010,9.15,2023-06-10 18:27:00,2023-06-10 23:20:43.744229,2023-06-10 23:10:43.744229,7,Cloudy,City,-10.0,0
DLV000117,Kolkata,Visakhapatnam,22.878801,88.61216,17.371321,82.927849,852.55,Motorcycle,DRV012,5.61,2023-08-12 03:15:00,2023-08-13 06:06:18.810552,2023-08-13 07:15:18.810552,7,Fog,Rural,69.0,1
DLV000118,Kanpur,Ahmedabad,26.568155,80.200814,22.985035,72.818871,844.84,Motorcycle,DRV100,0.74,2023-03-28 02:32:00,2023-03-28 22:57:00.647456,2023-03-28 22:49:00.647456,9,Clear,Rural,-8.0,0
